# what      abstracts.A   abstracts.B
#----- Block 1
FrePetGer22   Lloyd       Julian
ZhaLiuFan22   Lloyd       Julian
BasBeeLaz22   Lloyd       Julian
ZhoHeZen22    Lloyd       Julian
ForStoZim22   Lloyd       Julian
KauFeaAlv22   Lloyd       Julian
KumSumKum22   Lloyd       Julian
WanLiuXie22   Lloyd       Julian
#----- Block 2
PanLinZam22   Lutz        Franz
Liu22         Lutz        Franz
CobMazHic22   Lutz        Franz
RajZahBab22   Lutz        Franz
ZerMenDec22   Lutz        Franz
ShiBiaBri22   Lutz        Franz
MenCla22      Lutz        Franz
XueZhoLuo22   Lutz        Franz
#----- Block 3
QiuGaoXia22   Lutz        Franz
GeFanQia22    Lutz        Franz
CheHuWei22    Lutz        Franz
TsaBraHir22   Lutz        Franz
YanZhaPan22   Lutz        Franz
XiaHeXu22     Lutz        Franz
ZhoZhaShe22   Lutz        Franz
SamGaoDao22   Lutz        Franz
#----- Block 4
XieLeiYan22   Lutz        Franz
YanXiaFan22   Lutz        Franz
WatCooNad22   Lutz        Franz
RobCapGon22   Lutz        Franz
LamChe22      Lutz        Franz
HuaJiaLuo22   Lutz        Franz
FloPerWei22   Lutz        Franz
RonWanMan22   Lutz        Franz
#----- Block 5
KotKurDil22   Lutz        Franz
GalEwaJun22   Lutz        Franz
IzaGisGou22   Lutz        Franz
LiuXiaLo22    Lutz        Franz
MarBogFra22   Lutz        Franz
BalRal22      Lutz        Franz
JiaLiuJin22   Lutz        Franz
HamMetQas22   Lutz        Franz
#----- Block 6
HorCorFue22   Lutz        Franz
GonRajHas22   Lutz        Franz
ZenWuYe22     Lutz        Franz
LavMor22      Lutz        Franz
FurTorFel22   Lutz        Franz
TurShaAld22   Lutz        Franz
# HaqShiNej22   is a correction to a previous article, not an article in itself
AssGhaPul22   Lutz        Franz
#----- Block 7
SprSinSen22   Lutz        Julian
KonKasKam22   Lutz        Julian
ImrDam22      Lutz        Julian
BiXiaLo22     Lutz        Julian
ZouWanGao22   Lutz        Julian
ValDíaBou22   Lutz        Julian
WuZouDou22    Lutz        Julian
XiaHanAi22    Lutz        Julian
#----- Block 8
YanHasZou22   Lutz        Julian
YanXiaLo22    Lutz        Julian
GeoKecSha22   Lutz        Julian
BesMarBos22   Lutz        Julian
SheBanNat22   Lutz        Julian
WonWagTre22   Lutz        Julian
YuHuLi22      Lutz        Julian
MaMocZar22    Lutz        Julian
#----- Block 9
GerMarLat22   Lloyd       Julian
RahImtSto22   Lloyd       Julian
WanZhaSui22   Lloyd       Julian
ArtHarPra22   Lloyd       Julian
FirFirRos22   Lloyd       Julian
LiuGaoXia22   Lloyd       Julian
LuLiLiu22     Lloyd       Julian
WhiKri22      Lloyd       Julian
#----- Block 10
HeMenChe22    Lutz        Lloyd
ValMarPan22   Lutz        Lloyd
GaoFenYin22   Lutz        Lloyd
WanYanWan22   Lutz        Lloyd
OliAssGar22   Lutz        Lloyd
DanPlaHer22   Lutz        Lloyd
