citekey	venue	volume	coder	codername	sidx	words	chars	syllables	fkscore	code	suffixes	topic	icount	ucount
PanLinZam22	TOSEM	TOSEM22	B	Franz	2	11	94	28	-19.7	background		background	0	0
PanLinZam22	TOSEM	TOSEM22	B	Franz	3	20	137	41	13.1	background		background	0	0
PanLinZam22	TOSEM	TOSEM22	B	Franz	4	23	174	50	-0.4	objective		objective	0	0
PanLinZam22	TOSEM	TOSEM22	B	Franz	5	23	160	45	18.0	method		method	0	0
PanLinZam22	TOSEM	TOSEM22	B	Franz	6	18	137	38	10.0	method		method	0	0
PanLinZam22	TOSEM	TOSEM22	B	Franz	7	18	143	45	-22.9	result		result	0	0
PanLinZam22	TOSEM	TOSEM22	B	Franz	8	18.0	144.0	42.0	-27.1	conclusion		conclusion	0	0
PanLinZam22	TOSEM	TOSEM22	B	Franz	8	18.0	144.0	42.0	-27.1	a-fposs		Outlook	0	0
Liu22	TOSEM	TOSEM22	B	Franz	1	24	181	53	-4.3	background		background	0	0
Liu22	TOSEM	TOSEM22	B	Franz	2	23	166	48	6.9	background		background	0	0
Liu22	TOSEM	TOSEM22	B	Franz	3	20	144	42	8.9	objective		objective	0	0
Liu22	TOSEM	TOSEM22	B	Franz	4	15.5	109.0	31.5	3.4	design		design	0	0
Liu22	TOSEM	TOSEM22	B	Franz	4	15.5	109.0	31.5	3.4	result		result	0	0
Liu22	TOSEM	TOSEM22	B	Franz	5	20	168	52	-33.4	design		design	0	0
Liu22	TOSEM	TOSEM22	B	Franz	6	NA	NA	NA	NA	ignorediff		none	NA	NA
Liu22	TOSEM	TOSEM22	B	Franz	6	6.5	48.5	15.0	-1.6	result		result	0	0
Liu22	TOSEM	TOSEM22	B	Franz	6	6.5	48.5	15.0	-1.6	method		method	0	0
Liu22	TOSEM	TOSEM22	B	Franz	7	9.0	63.0	20.0	0.6	design		design	0	0
Liu22	TOSEM	TOSEM22	B	Franz	7	9.0	63.0	20.0	0.6	method		method	0	0
Liu22	TOSEM	TOSEM22	B	Franz	8	9.5	83.5	25.0	-35.1	design		design	0	0
Liu22	TOSEM	TOSEM22	B	Franz	8	9.5	83.5	25.0	-35.1	method		method	0	0
Liu22	TOSEM	TOSEM22	B	Franz	9	18	168	50	-46.4	result	:i2	result	2	0
CobMazHic22	ICSE	ICSE22	B	Franz	1	12	82	24	25.5	background		background	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	2	19	126	33	40.6	background		background	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	3	15	84	25	50.6	background		background	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	4	10	74	22	10.6	objective		objective	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	5	29	180	46	43.2	method		method	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	6	43	227	60	45.1	result		result	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	7	9.0	58.0	15.5	42.9	result		result	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	7	9.0	58.0	15.5	42.9	method		method	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	8	9.5	65.0	19.0	18.4	result		result	0	0
CobMazHic22	ICSE	ICSE22	B	Franz	8	9.5	65.0	19.0	18.4	method		method	0	0
RajZahBab22	IST	IST22	B	Franz	1	1	8	NA	NA	h-background		none	0	0
RajZahBab22	IST	IST22	B	Franz	2	16	121	35	5.5	background		background	0	0
RajZahBab22	IST	IST22	B	Franz	3	18	125	36	19.4	background		background	0	0
RajZahBab22	IST	IST22	B	Franz	4	23	155	47	10.6	background		background	0	0
RajZahBab22	IST	IST22	B	Franz	5	13	76	23	44.0	gap		gap	0	0
RajZahBab22	IST	IST22	B	Franz	6	1	10	NA	NA	h-objective		none	0	0
RajZahBab22	IST	IST22	B	Franz	7	24	165	49	9.8	objective		objective	0	0
RajZahBab22	IST	IST22	B	Franz	8	14	75	23	53.6	objective		objective	0	0
RajZahBab22	IST	IST22	B	Franz	9	1	7	NA	NA	h-method		none	0	0
RajZahBab22	IST	IST22	B	Franz	10	10	72	23	2.1	method		method	0	0
RajZahBab22	IST	IST22	B	Franz	11	11	71	23	18.8	method		method	0	0
RajZahBab22	IST	IST22	B	Franz	12	1	8	NA	NA	h-result		none	0	0
RajZahBab22	IST	IST22	B	Franz	13	17	121	35	15.4	result		result	0	0
RajZahBab22	IST	IST22	B	Franz	14	18	122	38	10.0	result	:i1	result	1	0
RajZahBab22	IST	IST22	B	Franz	15	10	58	16	61.3	result		result	0	0
RajZahBab22	IST	IST22	B	Franz	16	5	45	12	-1.3	result		result	0	0
RajZahBab22	IST	IST22	B	Franz	17	22	154	42	23.0	conclusion		conclusion	0	0
RajZahBab22	IST	IST22	B	Franz	18	13	104	31	-8.1	result		result	0	0
RajZahBab22	IST	IST22	B	Franz	19	12	99	29	-9.8	result		result	0	0
RajZahBab22	IST	IST22	B	Franz	20	1	12	NA	NA	h-conclusion		none	0	0
RajZahBab22	IST	IST22	B	Franz	21	17	130	38	0.5	summary		summary	0	0
RajZahBab22	IST	IST22	B	Franz	22	20	133	40	17.3	fneed		Outlook	0	0
RajZahBab22	IST	IST22	B	Franz	23	22	149	45	11.5	conclusion		conclusion	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	1	26	178	49	21.0	background		background	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	2	17	134	39	-4.5	background		background	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	3	14	122	40	-49.1	objective		objective	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	4	18	114	33	33.5	a-result		result	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	5	14	103	32	-0.7	a-result		result	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	6	7	47	13	42.6	method		method	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	7	14	101	30	11.3	method		method	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	8	19	127	38	18.4	result		result	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	9	14	102	30	11.3	result		result	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	10	19	119	37	22.8	result		result	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	11	17	121	37	5.5	result	:i1	result	1	0
ZerMenDec22	EMSE	EMSE22	B	Franz	12	31	200	59	14.4	result		result	0	0
ZerMenDec22	EMSE	EMSE22	B	Franz	13	15	98	26	45.0	conclusion		conclusion	0	0
ShiBiaBri22	EMSE	EMSE22	B	Franz	1	31	228	68	-10.2	background		background	0	0
ShiBiaBri22	EMSE	EMSE22	B	Franz	2	18	118	33	33.5	background		background	0	0
ShiBiaBri22	EMSE	EMSE22	B	Franz	3	19	118	32	45.1	gap		gap	0	0
ShiBiaBri22	EMSE	EMSE22	B	Franz	4	25	165	49	15.6	objective		objective	0	0
ShiBiaBri22	EMSE	EMSE22	B	Franz	5	10	83	23	2.1	design		design	0	0
ShiBiaBri22	EMSE	EMSE22	B	Franz	6	38	230	65	23.6	design		design	0	0
ShiBiaBri22	EMSE	EMSE22	B	Franz	7	28	201	61	-5.9	method		method	0	0
ShiBiaBri22	EMSE	EMSE22	B	Franz	8	27	194	53	13.4	result	:i2	result	2	0
MenCla22	TSE	TSE22	B	Franz	1	18	97	30	47.6	background		background	0	0
MenCla22	TSE	TSE22	B	Franz	2	9	58	18	28.5	background		background	0	0
MenCla22	TSE	TSE22	B	Franz	3	24	147	43	30.9	gap		gap	0	0
MenCla22	TSE	TSE22	B	Franz	4	10.0	67.0	17.5	38.5	design		design	0	0
MenCla22	TSE	TSE22	B	Franz	4	10.0	67.0	17.5	38.5	objective		objective	0	0
MenCla22	TSE	TSE22	B	Franz	5	13	94	28	11.4	claim		result	0	0
MenCla22	TSE	TSE22	B	Franz	6	29	190	49	34.5	method		method	0	0
MenCla22	TSE	TSE22	B	Franz	7	22	140	37	42.2	result		result	0	0
MenCla22	TSE	TSE22	B	Franz	8	48	310	90	-0.5	result		result	0	0
XueZhoLuo22	TSE	TSE22	B	Franz	1	19	135	38	18.4	background		background	0	0
XueZhoLuo22	TSE	TSE22	B	Franz	2	28	189	57	6.2	background		background	0	0
XueZhoLuo22	TSE	TSE22	B	Franz	3	37	237	67	16.1	gap		gap	0	0
XueZhoLuo22	TSE	TSE22	B	Franz	4	21	137	43	12.3	objective		objective	0	0
XueZhoLuo22	TSE	TSE22	B	Franz	5	8.5	56.0	16.0	30.3	design		design	0	0
XueZhoLuo22	TSE	TSE22	B	Franz	5	8.5	56.0	16.0	30.3	objective		objective	0	0
XueZhoLuo22	TSE	TSE22	B	Franz	6	26	197	56	-1.8	result	:i2	result	2	0
QiuGaoXia22	TSE	TSE22	B	Franz	1	15	116	36	-11.4	background		background	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	2	46	307	88	-1.7	background		background	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	3	17	100	27	55.2	background		background	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	4	14	81	22	59.7	background		background	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	5	35	231	64	16.6	background		background	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	6	27	187	54	10.2	objective		objective	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	7	32	185	50	42.2	design		design	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	8	12	70	18	67.8	design		design	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	9	26	151	41	47.0	design		design	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	10	30	180	49	38.2	design		design	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	11	15	83	24	56.3	design		design	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	12	36	217	63	22.2	claim		result	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	13	18	106	31	42.9	method		method	0	0
QiuGaoXia22	TSE	TSE22	B	Franz	14	9	73	23	-18.5	method	:i1	method	1	0
QiuGaoXia22	TSE	TSE22	B	Franz	15	14	103	29	17.4	result	:i1	result	1	0
GeFanQia22	IST	IST22	B	Franz	1	1	8	NA	NA	h-background		none	0	0
GeFanQia22	IST	IST22	B	Franz	2	16	133	45	-47.3	background		background	0	0
GeFanQia22	IST	IST22	B	Franz	3	1	10	NA	NA	h-objective		none	0	0
GeFanQia22	IST	IST22	B	Franz	4	16	118	35	5.5	background		background	0	0
GeFanQia22	IST	IST22	B	Franz	5	20	122	34	42.7	background		background	0	0
GeFanQia22	IST	IST22	B	Franz	6	16	113	31	26.7	background		background	0	0
GeFanQia22	IST	IST22	B	Franz	7	20	151	43	4.6	gap		gap	0	0
GeFanQia22	IST	IST22	B	Franz	8	1	7	NA	NA	h-method		none	0	0
GeFanQia22	IST	IST22	B	Franz	9	13	96	29	4.9	objective		objective	0	0
GeFanQia22	IST	IST22	B	Franz	10	23	137	36	51.1	design		design	0	0
GeFanQia22	IST	IST22	B	Franz	11	24	154	43	30.9	design		design	0	0
GeFanQia22	IST	IST22	B	Franz	12	24	158	42	34.4	design		design	0	0
GeFanQia22	IST	IST22	B	Franz	13	1	7	NA	NA	h-result		none	0	0
GeFanQia22	IST	IST22	B	Franz	14	13	93	23	44.0	method		method	0	0
GeFanQia22	IST	IST22	B	Franz	15	25	191	50	12.3	result		result	0	0
GeFanQia22	IST	IST22	B	Franz	16	30	194	50	35.4	result	:u1	result	0	1
GeFanQia22	IST	IST22	B	Franz	17	1	11	NA	NA	h-conclusion		none	0	0
GeFanQia22	IST	IST22	B	Franz	18	21	135	38	32.4	summary		summary	0	0
CheHuWei22	IST	IST22	B	Franz	1	1	8	NA	NA	h-background		none	0	0
CheHuWei22	IST	IST22	B	Franz	2	19	125	34	36.2	background		background	0	0
CheHuWei22	IST	IST22	B	Franz	3	11	104	31	-42.7	background		background	0	0
CheHuWei22	IST	IST22	B	Franz	4	11	70	21	34.2	background		background	0	0
CheHuWei22	IST	IST22	B	Franz	5	7	66	17	-5.7	background		background	0	0
CheHuWei22	IST	IST22	B	Franz	6	37	255	71	6.9	gap		gap	0	0
CheHuWei22	IST	IST22	B	Franz	7	1	10	NA	NA	h-objective		none	0	0
CheHuWei22	IST	IST22	B	Franz	8	19	156	45	-12.8	objective		objective	0	0
CheHuWei22	IST	IST22	B	Franz	9	1	8	NA	NA	h-method		none	0	0
CheHuWei22	IST	IST22	B	Franz	10	22	157	45	11.5	design		design	0	0
CheHuWei22	IST	IST22	B	Franz	11	18	122	33	33.5	design		design	0	0
CheHuWei22	IST	IST22	B	Franz	12	18	119	37	14.7	design	:u1	design	0	1
CheHuWei22	IST	IST22	B	Franz	13	1	8	NA	NA	h-result		none	0	0
CheHuWei22	IST	IST22	B	Franz	14	42	318	84	-5.0	result	:i3	result	3	0
CheHuWei22	IST	IST22	B	Franz	15	25	165	49	15.6	result	:i1	result	1	0
CheHuWei22	IST	IST22	B	Franz	16	1	11	NA	NA	h-conclusion		none	0	0
CheHuWei22	IST	IST22	B	Franz	17	8	65	19	-2.2	summary		summary	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	1	20	152	44	0.4	background		background	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	2	19	126	36	27.3	background		background	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	3	14	95	28	23.4	background		background	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	4	30	201	56	18.5	background		background	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	5	12	80	26	11.4	gap		gap	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	6	32	207	63	7.8	objective		objective	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	7	10	71	18	44.4	method		method	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	8	9	60	17	37.9	method		method	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	9	17	106	30	40.3	a-method		method	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	10	14.5	96.5	33.0	-15.1	a-design		design	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	10	14.5	96.5	33.0	-15.1	a-result		result	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	11	14.0	95.5	31.0	-8.9	method		method	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	11	14.0	95.5	31.0	-8.9	a-result		result	0	0
TsaBraHir22	EMSE	EMSE22	B	Franz	12	10	70	19	35.9	fneed		Outlook	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	1	31	216	56	22.5	background		background	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	2	24	153	43	30.9	background		background	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	3	20	150	43	4.6	background		background	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	4	22	132	38	38.4	background		background	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	5	9	69	21	0.3	gap		gap	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	6	22	130	37	42.2	objective		objective	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	7	10.0	70.5	20.0	17.3	result	:u1	result	0	1
YanZhaPan22	TOSEM	TOSEM22	B	Franz	7	10.0	70.5	20.0	17.3	method		method	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	8	36	243	67	12.8	a-result		result	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	9	11.5	78.0	21.5	25.3	result		result	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	9	11.5	78.0	21.5	25.3	method		method	0	0
YanZhaPan22	TOSEM	TOSEM22	B	Franz	10	13	101	28	11.4	a-conclusion		conclusion	0	0
XiaHeXu22	ICSE	ICSE22	B	Franz	1	14	102	30	11.3	background		background	0	0
XiaHeXu22	ICSE	ICSE22	B	Franz	2	25	171	47	22.4	gap		gap	0	0
