citekey	venue	volume	coder	codername	sidx	words	chars	code	topic	icount	ucount
ManHanHan21	TSE	TSE21	C	GunnaR	1	33	244	background	background	0	0
ManHanHan21	TSE	TSE21	C	GunnaR	2	22	141	background	background	0	0
ManHanHan21	TSE	TSE21	C	GunnaR	3	34	215	background	background	0	0
ManHanHan21	TSE	TSE21	C	GunnaR	4	28	185	objective	objective	0	0
ManHanHan21	TSE	TSE21	C	GunnaR	4	28	185	claim	other	0	0
ManHanHan21	TSE	TSE21	C	GunnaR	5	29	198	method	method	0	0
HasIqbIsl21	EMSE	EMSE21	C	GunnaR	1	24	169	background	background	0	0
HasIqbIsl21	EMSE	EMSE21	C	GunnaR	2	28	190	background	background	0	0
HasIqbIsl21	EMSE	EMSE21	C	GunnaR	3	50	382	design	design	0	0
HasIqbIsl21	EMSE	EMSE21	C	GunnaR	4	50	321	method	method	0	0
HasIqbIsl21	EMSE	EMSE21	C	GunnaR	5	28	184	result	result	0	0
HasIqbIsl21	EMSE	EMSE21	C	GunnaR	6	26	158	result	result	0	0
HasIqbIsl21	EMSE	EMSE21	C	GunnaR	7	26	175	conclusion	conclusion	0	0
MurJasSad21	TSE	TSE21	C	GunnaR	1	29	193	background	background	0	0
MurJasSad21	TSE	TSE21	C	GunnaR	2	6	37	objective	objective	0	0
MurJasSad21	TSE	TSE21	C	GunnaR	2	6	37	background	background	0	0
MurJasSad21	TSE	TSE21	C	GunnaR	3	34	270	design	design	0	0
MurJasSad21	TSE	TSE21	C	GunnaR	4	30	217	result	result	3	0
MurJasSad21	TSE	TSE21	C	GunnaR	5	24	172	result	result	2	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	1	1	10	h-background	background	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	1	11	86	background	background	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	2	16	124	background	background	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	3	1	10	h-background	background	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	3	11	102	background	background	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	4	1	10	h-objective	objective	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	4	18	120	objective	objective	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	5	24	175	objective	objective	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	6	1	10	h-method	method	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	6	45	307	method	method	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	7	1	10	h-result	result	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	7	22	162	result	result	0	0
PraShaSha21	EMSE	EMSE21	C	GunnaR	8	16	120	result	result	0	0
